episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,finished_at,pid,agent
2,14,-0.1376966307308815,0.0,0.0,-1.9277528302323408,0.0,0.0,1761039015.922551,pid_34704,KL001
2,16,-0.1774698442950786,0.0,0.0,-2.839517508721258,0.0,0.0,1761039015.923551,pid_2040,KL003
2,31,-0.2267553831276917,0.0,-0.032258064516129,-7.029416876958442,0.0,-1.0,1761039015.9365575,pid_29628,KL003
1,95,-0.1646704044039637,0.0,-0.0105263157894736,-15.64368841837656,0.0,-1.0,1761039015.977526,pid_17892,KL004
2,71,-0.1762270876602188,0.0,0.0,-12.512123223875536,0.0,0.0,1761039015.982541,pid_8616,KL004
2,24,-0.190722969061782,0.0,-0.0833333333333333,-4.577351257482768,0.0,-2.0,1761039016.0001557,pid_25980,KL005
2,43,-0.1617097077453939,0.0,0.0,-6.953517433051939,0.0,0.0,1761039016.0091543,pid_22012,KL006
2,19,-0.0993994599755954,0.0,0.0,-1.8885897395363127,0.0,0.0,1761039016.0151632,pid_34704,KL004
2,1,-0.054970254930771,0.0,0.0,-0.054970254930771,0.0,0.0,1761039016.0161664,pid_17892,KL005
2,8,-0.0860534592138019,0.0,0.0,-0.6884276737104157,0.0,0.0,1761039016.0391915,pid_29612,KL001
2,8,-0.1017070830447297,0.0,0.0,-0.813656664357838,0.0,0.0,1761039016.043217,pid_32348,KL006
2,4,-0.1504125448347409,0.0,0.0,-0.6016501793389637,0.0,0.0,1761039016.0577154,pid_17892,KL006
2,28,-0.1798227085061341,0.0,0.0,-5.035035838171756,0.0,0.0,1761039016.0712428,pid_2040,KL004
2,11,-0.2321028769734528,0.0,0.0,-2.553131646707981,0.0,0.0,1761039016.0847628,pid_29612,KL004
2,7,-0.0923693862101315,0.0,0.0,-0.6465857034709205,0.0,0.0,1761039016.1012836,pid_17892,KL004
2,32,-0.0942774951751489,0.0,-0.125,-3.0168798456047656,0.0,-4.0,1761039016.103083,pid_25980,KL002
2,32,-0.0833711375204272,0.0,0.0,-2.6678764006536726,0.0,0.0,1761039016.1231232,pid_2040,KL005
1,109,-0.1771866534576687,0.0,-0.018348623853211,-19.313345226885893,0.0,-2.0,1761039016.125122,pid_30944,KL004
2,26,-0.0516359373742131,0.0,-0.1153846153846153,-1.3425343717295408,0.0,-3.0,1761039016.132128,pid_34704,KL003
1,108,-0.138383900696106,0.0,0.0,-14.945461275179454,0.0,0.0,1761039016.1331298,pid_10116,KL006
2,15,-0.1990442518712749,0.0,0.0,-2.9856637780691244,0.0,0.0,1761039016.143722,pid_32348,KL004
3,24,-0.1967215769968495,0.0,0.0,-4.7213178479243885,0.0,0.0,1761039016.1528492,pid_26880,KL003
2,18,-0.0831964615849813,0.0,0.0,-1.497536308529665,0.0,0.0,1761039016.1678803,pid_29612,KL006
2,15,-0.1964756685901532,0.0,0.0,-2.947135028852299,0.0,0.0,1761039016.170881,pid_20272,KL006
1,112,-0.1667613858685929,0.0,-0.0178571428571428,-18.67727521728241,0.0,-2.0,1761039016.1893964,pid_16000,KL001
3,3,-0.0875634992453627,0.0,0.0,-0.2626904977360884,0.0,0.0,1761039016.1949124,pid_2040,KL003
2,49,-0.0783003024186667,0.0,0.0,-3.836714818514672,0.0,0.0,1761039016.1949124,pid_29628,KL006
2,3,-0.1166919759917777,0.0,0.0,-0.3500759279753331,0.0,0.0,1761039016.2016523,pid_30944,KL002
2,14,-0.1649974601554278,0.0,0.0,-2.309964442175989,0.0,0.0,1761039016.2086515,pid_17892,KL002
3,15,-0.1122092062692462,0.0,0.0,-1.6831380940386935,0.0,0.0,1761039016.218659,pid_8616,KL004
2,51,-0.2010256326000536,0.0,-0.0196078431372549,-10.252307262602736,0.0,-1.0,1761039016.2206602,pid_29628,KL001
2,19,-0.1801819261843313,0.0,-0.0526315789473684,-3.423456597502296,0.0,-1.0,1761039016.2261722,pid_20272,KL004
2,22,-0.1306628788863412,0.0,0.0,-2.874583335499508,0.0,0.0,1761039016.2281792,pid_32348,KL003
2,24,-0.116573149132831,0.0,-0.2083333333333333,-2.797755579187944,0.0,-5.0,1761039016.259493,pid_32348,KL002
2,25,-0.1719219916086385,0.0,-0.24,-4.2980497902159644,0.0,-6.0,1761039016.2725,pid_32348,KL005
3,19,-0.1123579483828376,0.0,0.0,-2.1348010192739157,0.0,0.0,1761039016.2744987,pid_8616,KL002
2,4,-0.1636677719440061,0.0,0.0,-0.6546710877760245,0.0,0.0,1761039016.287048,pid_16000,KL003
1,125,-0.1749295509515589,0.0,-0.016,-21.86619386894487,0.0,-2.0,1761039016.3104763,pid_29116,KL001
2,29,-0.1320112108090458,0.0,0.0,-3.8283251134623306,0.0,0.0,1761039016.3159845,pid_32348,KL001
2,22,-0.1104711480760605,0.0,0.0,-2.430365257673333,0.0,0.0,1761039016.3189926,pid_17892,KL003
2,39,-0.1999193636080423,0.0,-0.0512820512820512,-7.796855180713651,0.0,-2.0,1761039016.3209925,pid_34704,KL006
2,30,-0.125497456910994,0.0,-0.0333333333333333,-3.764923707329821,0.0,-1.0,1761039016.3623009,pid_20272,KL001
3,9,-0.0759324677880757,0.0,0.0,-0.6833922100926819,0.0,0.0,1761039016.3848178,pid_29628,KL002
2,32,-0.248299838355995,0.0,0.0,-7.945594827391841,0.0,0.0,1761039016.386818,pid_20272,KL002
2,32,-0.0727451233506246,0.0,0.0,-2.3278439472199874,0.0,0.0,1761039016.386818,pid_20272,KL003
2,79,-0.118406059573151,0.0,0.0,-9.35407870627893,0.0,0.0,1761039016.3978455,pid_22012,KL005
3,16,-0.208235964872205,0.0,0.0,-3.3317754379552804,0.0,0.0,1761039016.3978455,pid_2040,KL005
2,11,-0.1323061896141592,0.0,0.0,-1.455368085755751,0.0,0.0,1761039016.4020023,pid_16000,KL002
3,29,-0.1134833583082221,0.0,0.0,-3.291017390938443,0.0,0.0,1761039016.4120111,pid_8616,KL005
2,4,-0.1038349038291113,0.0,0.0,-0.4153396153164453,0.0,0.0,1761039016.41301,pid_29116,KL002
2,35,-0.1231807975297052,0.0,0.0,-4.3113279135396825,0.0,0.0,1761039016.4190128,pid_20272,KL005
3,18,-0.2126696027878375,0.0,-0.0555555555555555,-3.8280528501810753,0.0,-1.0,1761039016.4250095,pid_2040,KL001
1,130,-0.1643149829425239,0.0,0.0,-21.36094778252811,0.0,0.0,1761039016.430019,pid_21676,KL004
2,5,-0.1055350843976247,0.0,0.0,-0.5276754219881237,0.0,0.0,1761039016.432017,pid_29116,KL006
3,7,-0.0828930238746707,0.0,0.0,-0.580251167122695,0.0,0.0,1761039016.440019,pid_32348,KL002
2,16,-0.0461463748761485,0.0,0.0,-0.7383419980183762,0.0,0.0,1761039016.4410172,pid_10116,KL003
3,13,-0.0813345717651843,0.0,0.0,-1.0573494329473965,0.0,0.0,1761039016.4481406,pid_29628,KL001
1,134,-0.1439493356398645,0.0,0.0,-19.28921097574185,0.0,0.0,1761039016.4501386,pid_23264,KL002
3,48,-0.1812790575919306,0.0,-0.0208333333333333,-8.701394764412672,0.0,-1.0,1761039016.4621403,pid_26880,KL004
3,9,-0.060585775650186,0.0,0.0,-0.5452719808516743,0.0,0.0,1761039016.468103,pid_32348,KL003
2,19,-0.1512881943581873,0.0,0.0,-2.8744756928055595,0.0,0.0,1761039016.4931352,pid_10116,KL006
2,1,-0.3057438562388515,0.0,0.0,-0.3057438562388515,0.0,0.0,1761039016.5014536,pid_23264,KL003
3,52,-0.1508784788448032,0.0,-0.0192307692307692,-7.845680899929768,0.0,-1.0,1761039016.5076883,pid_26880,KL006
3,26,-0.1521241150165911,0.0,0.0,-3.95522699043137,0.0,0.0,1761039016.5242302,pid_2040,KL004
3,19,-0.080055336791307,0.0,-0.0526315789473684,-1.5210513990348342,0.0,-1.0,1761039016.531237,pid_29628,KL004
1,149,-0.176308784758298,0.0,-0.0268456375838926,-26.27000892898641,0.0,-4.0,1761039016.5342364,pid_4080,KL005
2,57,-0.1465509285051095,0.0,0.0,-8.353402924791245,0.0,0.0,1761039016.540235,pid_34704,KL005
2,65,-0.1830985843348827,0.0,0.0,-11.90140798176738,0.0,0.0,1761039016.5412347,pid_25980,KL004
3,13,-0.1176775051034382,0.0,0.0,-1.529807566344697,0.0,0.0,1761039016.5412347,pid_32348,KL005
3,20,-0.153342951209646,0.0,0.0,-3.06685902419292,0.0,0.0,1761039016.543753,pid_29628,KL003
2,22,-0.1802242352563827,0.0,0.0,-3.9649331756404207,0.0,0.0,1761039016.5537517,pid_10116,KL005
2,46,-0.2144981923675526,0.0,0.0,-9.866916848907422,0.0,0.0,1761039016.56027,pid_29612,KL005
3,7,-0.0962296366746628,0.0,-0.1428571428571428,-0.67360745672264,0.0,-1.0,1761039016.5812805,pid_20272,KL003
2,6,-0.1280084732392212,0.0,0.0,-0.7680508394353275,0.0,0.0,1761039016.5832858,pid_23264,KL001
2,26,-0.204181187456552,0.0,-0.1538461538461538,-5.308710873870353,0.0,-4.0,1761039016.608668,pid_16000,KL006
3,33,-0.1714010079583318,0.0,0.0,-5.656233262624951,0.0,0.0,1761039016.610667,pid_2040,KL006
3,9,-0.0992110130817703,0.0,-0.3333333333333333,-0.8928991177359327,0.0,-3.0,1761039016.6161892,pid_20272,KL004
3,9,-0.0669960288352267,0.0,-0.2222222222222222,-0.602964259517041,0.0,-2.0,1761039016.6161892,pid_20272,KL005
2,11,-0.21155893502528,0.0,0.0,-2.3271482852780805,0.0,0.0,1761039016.6161892,pid_21676,KL006
3,12,-0.1935382622974188,0.0,-0.0833333333333333,-2.322459147569026,0.0,-1.0,1761039016.61919,pid_22012,KL002
3,63,-0.1253706599867659,0.0,0.0,-7.898351579166251,0.0,0.0,1761039016.6318586,pid_26880,KL005
2,33,-0.1586596004289216,0.0,0.0,-5.235766814154414,0.0,0.0,1761039016.635862,pid_30944,KL005
2,18,-0.1401285369588251,0.0,0.0,-2.522313665258852,0.0,0.0,1761039016.655317,pid_29116,KL001
3,14,-0.1826649585977429,0.0,-0.2142857142857142,-2.557309420368401,0.0,-3.0,1761039016.679837,pid_20272,KL006
2,16,-0.1469494440239004,0.0,0.0,-2.351191104382408,0.0,0.0,1761039016.6859872,pid_21676,KL004
2,53,-0.0908324378195142,0.0,0.0,-4.814119204434253,0.0,0.0,1761039016.686986,pid_17892,KL001
2,32,-0.0947683901125382,0.0,0.0,-3.0325884836012227,0.0,0.0,1761039016.7050748,pid_10116,KL004
3,19,-0.1632605277827314,0.0,-0.0526315789473684,-3.101950027871897,0.0,-1.0,1761039016.7276042,pid_22012,KL001
3,3,-0.139785102753598,0.0,0.0,-0.419355308260794,0.0,0.0,1761039016.74812,pid_17892,KL005
4,7,-0.0647591198199629,0.0,0.0,-0.4533138387397407,0.0,0.0,1761039016.7491226,pid_26880,KL002
2,37,-0.12581463974972,0.0,0.0,-4.655141670739639,0.0,0.0,1761039016.755123,pid_16000,KL001
2,14,-0.1966957369722526,0.0,0.0,-2.7537403176115363,0.0,0.0,1761039016.7651925,pid_4080,KL001
3,58,-0.1751382015313975,0.0,0.0,-10.15801568882106,0.0,0.0,1761039016.7781985,pid_8616,KL003
2,23,-0.1360592372272283,0.0,0.0,-3.1293624562262505,0.0,0.0,1761039016.781717,pid_21676,KL005
3,6,-0.1589022200686386,0.0,0.0,-0.9534133204118318,0.0,0.0,1761039016.7847178,pid_17892,KL006
2,63,-0.1909291096291353,0.0,0.0,-12.028533906635529,0.0,0.0,1761039016.7877202,pid_29612,KL002
3,60,-0.1899746952870487,0.0,0.0,-11.398481717222923,0.0,0.0,1761039016.8008895,pid_8616,KL006
2,17,-0.2379711327883854,0.0,0.0,-4.045509257402552,0.0,0.0,1761039016.8048882,pid_4080,KL006
3,50,-0.1251008837923787,0.0,-0.02,-6.255044189618936,0.0,-1.0,1761039016.8094828,pid_2040,KL002
2,25,-0.2265420893563416,0.0,-0.16,-5.66355223390854,0.0,-4.0,1761039016.811484,pid_21676,KL001
