episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,total_intrusions,finished_at,pid,agent,feature,index,min,max,mean,std,samples
2,9.0,-0.1346074554812566,0.0,0.0,-1.21146709933131,0.0,0.0,0.0,1761056923.1468585,pid_10268,KL004,,,,,,,
1,32.0,-0.119855721200065,0.0,-0.03125,-3.835383078402081,0.0,-1.0,1.0,1761056923.1468585,pid_29908,KL005,,,,,,,
2,3.0,-0.0257386258237289,0.3333333333333333,0.0,-0.0772158774711867,1.0,0.0,0.0,1761056923.1598885,pid_29208,KL004,,,,,,,
1,24.0,-0.1421972023604936,0.0,-0.1666666666666666,-3.412732856651848,0.0,-4.0,4.0,1761056923.1638918,pid_21648,KL003,,,,,,,
1,31.0,-0.196662739930171,0.0,0.0,-6.096544937835303,0.0,0.0,0.0,1761056923.166889,pid_36364,KL003,,,,,,,
1,35.0,-0.1941673433279768,0.0,0.0,-6.7958570164791885,0.0,0.0,0.0,1761056923.1688862,pid_17144,KL001,,,,,,,
1,37.0,-0.1176560529184546,0.027027027027027,-0.054054054054054,-4.353273957982821,1.0,-2.0,2.0,1761056923.191779,pid_6116,KL006,,,,,,,
1,38.0,-0.1861589210918033,0.0,-0.0526315789473684,-7.074039001488528,0.0,-2.0,2.0,1761056923.196619,pid_20936,KL004,,,,,,,
2,11.0,-0.1048891743115041,0.0,0.0,-1.153780917426546,0.0,0.0,0.0,1761056923.235149,pid_3108,KL003,,,,,,,
2,11.0,-0.0804505194715261,0.0,0.0,-0.8849557141867876,0.0,0.0,0.0,1761056923.235149,pid_3108,KL006,,,,,,,
1,40.0,-0.1671109759251517,0.0,-0.025,-6.68443903700607,0.0,-1.0,1.0,1761056923.2361498,pid_29908,KL004,,,,,,,
1,31.0,-0.1978459405174588,0.0,-0.1290322580645161,-6.133224156041223,0.0,-4.0,4.0,1761056923.237148,pid_18304,KL001,,,,,,,
1,42.0,-0.1786842267084813,0.0,0.0,-7.504737521756216,0.0,0.0,0.0,1761056923.251917,pid_27344,KL002,,,,,,,
1,33.0,-0.2388852802750102,0.0,0.0,-7.883214249075338,0.0,0.0,0.0,1761056923.2570496,pid_21668,KL001,,,,,,,
1,33.0,-0.1914486479046057,0.0,-0.0909090909090909,-6.317805380851991,0.0,-3.0,3.0,1761056923.2570496,pid_21668,KL004,,,,,,,
1,33.0,-0.2137507963902299,0.0,0.0,-7.053776280877588,0.0,0.0,0.0,1761056923.263056,pid_23928,KL001,,,,,,,
2,16.0,-0.0781049477850477,0.0,0.0,-1.249679164560764,0.0,0.0,0.0,1761056923.2775905,pid_25504,KL001,,,,,,,
1,36.0,-0.1333041657092072,0.0,0.0,-4.798949965531459,0.0,0.0,0.0,1761056923.2775905,pid_26784,KL003,,,,,,,
1,34.0,-0.1148588975394636,0.0,0.0,-3.905202516341765,0.0,0.0,0.0,1761056923.2775905,pid_23928,KL005,,,,,,,
2,10.0,-0.1096574188243881,0.0,0.0,-1.0965741882438815,0.0,0.0,0.0,1761056923.289924,pid_29208,KL002,,,,,,,
2,15.0,-0.1538395524372379,0.0,0.0,-2.3075932865585687,0.0,0.0,0.0,1761056923.3069832,pid_3108,KL002,,,,,,,
