episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_waypoint,truncated,finished_at,pid,agent
1,98,-0.0280600646187256,0.0031762621011366,0.0,-0.2201764162006553,-2.7498863326351115,0.3112736859113929,0.0,-21.577288787664223,0,False,True,1761556760.3333547,pid_9528,KL006
1,100,-0.0189432221012526,0.0093868288736181,0.0,-0.3554947329720586,-1.894322210125264,0.9386828873618132,0.0,-35.54947329720586,0,False,True,1761556760.3563888,pid_32044,KL005
1,89,-0.0138930440951736,0.0127901404074389,0.0,-0.0596615964708664,-1.2364809244704535,1.1383224962620684,0.0,-5.309882085907112,0,False,True,1761556760.3573918,pid_25524,KL005
1,103,-0.0453453644925172,-0.0069348593665627,0.0,-0.2094882406569342,-4.670572542729279,-0.7142905147559679,0.0,-21.577288787664223,0,False,True,1761556760.3633895,pid_9528,KL004
1,102,-0.0372741154520966,-0.0031224546445239,-0.0588235294117647,-0.0891889626483169,-3.801959776113855,-0.3184903737414446,-6.0,-9.097274190128331,6,False,True,1761556760.365391,pid_32044,KL003
1,105,-0.0226640740065739,0.0065527634937788,-0.0571428571428571,-0.2987772815338413,-2.379727770690269,0.6880401668467835,-6.0,-31.371614561053345,17,False,True,1761556760.3729076,pid_9528,KL005
1,93,-0.0101167921131071,0.0149248285207494,0.0,-0.1708153355219013,-0.9408616665189682,1.3880090524296975,0.0,-15.885826203536826,3,False,True,1761556760.3767142,pid_6204,KL002
1,95,-0.0348319708990204,-0.0018498334497638,0.0,-0.196802828451705,-3.30903723540694,-0.1757341777275629,0.0,-18.69626870291198,5,False,True,1761556760.411387,pid_29092,KL003
1,110,-0.0416175682565936,-0.0042913008458926,0.0,0.0,-4.5779325082253015,-0.4720430930481869,0.0,0.0,0,False,True,1761556760.4587383,pid_28052,KL004
1,100,-0.0280645871859402,0.0037084202871782,-0.12,-0.3221518239669222,-2.8064587185940297,0.3708420287178295,-12.0,-32.21518239669223,14,False,True,1761556760.4597397,pid_29092,KL006
1,115,-0.0357031804846893,-0.0025851340758868,0.0,-0.0823744345997277,-4.105865755739278,-0.2972904187269827,0.0,-9.473059978968692,5,False,True,1761556760.4757476,pid_17832,KL003
1,107,-0.0307949699382459,0.0009420251460058,-0.1121495327102803,-0.3189450776288037,-3.2950617833923164,0.1007966906226305,-12.0,-34.127123306281995,38,False,True,1761556760.4812534,pid_6204,KL003
1,119,-0.0342813283928845,-0.0018280316551696,0.0,-0.2889273989889495,-4.079478078753261,-0.217535766965192,0.0,-34.38236047968499,1,False,True,1761556760.498709,pid_36264,KL005
1,124,-0.0456387775740802,-0.0090518011634558,0.0,-0.2139855195696778,-5.659208419185945,-1.1224233442685267,0.0,-26.53420442664005,0,False,True,1761556760.5211213,pid_31396,KL003
1,114,-0.0265402299199333,0.0041400411460423,-0.0526315789473684,-0.9213989707039156,-3.025586210872405,0.471964690648833,-6.0,-105.03948266024636,6,False,True,1761556760.528636,pid_23240,KL002
1,115,-0.0172876473515938,0.0105627263436801,-0.0521739130434782,-0.5135166265320816,-1.988079445433295,1.2147135295232123,-6.0,-59.05441205118939,21,False,True,1761556760.5381498,pid_6204,KL004
1,108,-0.0420864596323644,-0.0045069276043944,0.0,-0.862640382016694,-4.545337640295361,-0.4867481812745982,0.0,-93.16516125780296,6,False,True,1761556760.574638,pid_11576,KL005
1,136,-0.0345811722758545,-0.0026467263312303,0.0,-0.1228690278823247,-4.703039429516223,-0.3599547810473289,0.0,-16.710187791996166,0,False,True,1761556760.6072204,pid_31396,KL004
1,137,-0.0376272002114477,-0.0040020836715303,0.0,-0.1408339333479582,-5.15492642896834,-0.5482854629996587,0.0,-19.29424886867028,0,False,True,1761556760.6265516,pid_31476,KL005
1,168,-0.0256847817579529,0.0046580520958696,0.0,0.0,-4.315043335336093,0.7825527521061089,0.0,0.0,0,False,True,1761556760.6340778,pid_11220,KL003
